id;siege;siege_encode;id1;impl;premier;compte;uaientitemere;identifiantunite;nomlong;nomcourt;nom_encode;description;rcr;typebibliotheque;adresse_adresse;adresse_adressecompl;adresse_codepostal;adresse_ville;adresse_pays;geo;internet_web;internet_info;internet_conta;internet_formu;internet_rss;internet_blog;internet_wiki;internet_masto;internet_faceb;internet_twitt;internet_youtu;internet_daily;internet_vimeo;internet_peris;internet_insta;internet_flick;internet_pinte;internet_linke;internet_googl;internet_viade;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;regrgp_nom;fd_id;logo_scd;wall_rss;wall_faceb;wall_twitt;wall_youtu;wall_vimeo;wall_flick;wall_pinte;wall_googl;noctambuplus
0753480A;Collège de France;Coll%E8ge%20de%20France;0753480A-03;0753480A-03-1;Oui;1;0753480A;UN03;Bibliothèque des études arabes, turques et islamiques;;Biblioth%E8que%20des%20%E9tudes%20arabes%2C%20turques%20et%20islamiques;"La bibliothèque d'études arabes, turques et islamiques est constituée des fonds Louis Massignon, Jean Sauvaget, Henri Laoust, Régis Blachère, Jacques Berque, Stéphane Yerasimos et Claude Cahen. Les ouvrages conservés concernent toutes les disciplines de la civilisation arabo-islamique des origines de l'islam à la période contemporaine. La bibliothèque dispose également d'une collection importante sur l'histoire de l'empire ottoman.
Puverte aux étudiants à partir du Master, sur recommandation de leur directeur de recherche.";751055238;;4 rue Valette;;75005;PARIS;;48.84746,2.346752;https://www.college-de-france.fr/site/bibliotheques-archives/Bibliotheque-d-etudes-arabes-turques-et-islamiques.htm;;bibliothèque.eati.drpd@college-de-france.fr;;;https://archibibscdf.hypotheses.org/;;;;;;;;;;;;;;;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;Île-de-France;FD111;;;;;;;;;;
0752735R;Université Paris Sorbonne;Universit%E9%20Paris%20Sorbonne;0752735R-19;0752735R-19-1;Oui;1;0751720M;UN19;Bibliothèque du CELSA;Bibliothèque du CELSA;Biblioth%E8que%20du%20CELSA;;920512201;;77 rue de Villiers;;92200;Neuilly sur Seine;;48.894574,2.274912;http://documentation.sorbonne-universites.fr/;http://documentation.sorbonne-universites.fr/bibliotheques/paris-sorbonne/bibliotheque-du-celsa.html;bibliotheque@celsa.paris-sorbonne.fr;;;;;;;;;;;;;;;;;;92051;Neuilly-sur-Seine;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;Île-de-France;FD111;;;;;;;;;;
0752735R;Université Paris Sorbonne;Universit%E9%20Paris%20Sorbonne;0752735R-11;0752735R-11-1;Oui;1;0751720M;UN11;Bibliothèque du Centre Enseignement et Recherche d'Oc (CEROC);Bibliothèque du CEROC;Biblioth%E8que%20du%20Centre%20Enseignement%20et%20Recherche%20d%27Oc%20%28CEROC%29;;751052243;;16, rue de la Sorbonne;;75005;Paris;;48.849233,2.343127;http://documentation.sorbonne-universites.fr/;http://documentation.sorbonne-universites.fr/bibliotheques/paris-sorbonne/bibliotheque-du-ceroc.html;jorge.faria_de_vilhena@paris-sorbonne.fr;;;;;;;;;;;;;;;;;;75105;Paris  5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;Île-de-France;FD111;;;;;;;;;;
0211030F;Service commun de la documentation de l'université de Bourgogne;Service%20commun%20de%20la%20documentation%20de%20l%27universit%E9%20de%20Bourgogne;0211030F-07;0211030F-07-1;Oui;1;0211237F;UN07;BU Chalon;;BU%20Chalon;;;;1 allée des Granges Forestier;;71100;Chalon-sur-Saône;;46.77708,4.85681;;http://bu.u-bourgogne.fr/EXPLOITATION/bu-chalon-sur-saone.aspx;bu.chalon.contact@u-bourgogne.fr;;;;;;;;;;;;;;;;;;71076;Chalon-sur-Saône;UU71501;Chalon-sur-Saône;D071;Saône-et-Loire;A07;Dijon;R27;Bourgogne-Franche-Comté;Province;FD111;0211030F.jpg;;;;;;;;;
0860701V;Service commun de la documentation de l'Université de Poitiers;Service%20commun%20de%20la%20documentation%20de%20l%27Universit%E9%20de%20Poitiers;0860701V-00;0860701V-00-1;Oui;1;0860856N;UN00;BU Sciences, Techniques et Sport - Futuroscope;;BU%20Sciences%2C%20Techniques%20et%20Sport%20%2D%20Futuroscope;;860622101;;angle de l'avenue Clément Ader et du bd Pierre et Marie Curie;Technopole du Futuroscope - Téléport 2;86360;Chasseneuil-du-Poitou;;46.660171,0.359419;http://scd.univ-poitiers.fr/;http://scd.univ-poitiers.fr/vos-bibliotheques/campus-du-futuroscope/bu-futuroscope/;scd@univ-poitiers.fr;;;http://blogs.univ-poitiers.fr/busciences/;;;https://www.facebook.com/busciencespoitiers;https://twitter.com/SCD_Poitiers;;;;;;https://www.flickr.com/photos/64862745@N06/collections;;;;;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Nouvelle-Aquitaine;Province;FD111;;;busciencespoitiers;SCD_Poitiers;;;64862745@N06;;;
0641439S;Service Commun de la Documentation de l'Université de Pau et de Pays de l'Adour;Service%20Commun%20de%20la%20Documentation%20de%20l%27Universit%E9%20de%20Pau%20et%20de%20Pays%20de%20l%27A;0641439S-02;0641439S-02-1;Oui;1;0640251A;UN02;Bibliothèque de l'IUT de Mont-de-Marsan;;Biblioth%E8que%20de%20l%27IUT%20de%20Mont%2Dde%2DMarsan;;401922101;;371, Rue du Ruisseau;;40004;MONT-DE-MARSAN;;43.885733,-0.509181;http://bibliotheques.univ-pau.fr/fr/bibliotheques/mont-de-marsan.html;http://bibliotheques.univ-pau.fr/fr/bibliotheques/mont-de-marsan.html;info-bumdm@univ-pau.fr;;;;;;;;;;;;;;;;;;40192;Mont-de-Marsan;UU40401;Mont-de-Marsan;D040;Landes;A04;Bordeaux;R75;Nouvelle-Aquitaine;Province;FD111;;;;;;;;;;
0673029D;Service des bibliothèques de l'Université de Strasbourg;Service%20des%20biblioth%E8ques%20de%20l%27Universit%E9%20de%20Strasbourg;0673029D-36;0673029D-36-1;Oui;1;0673021V;UN36;Bibliothèque du Centre d'études Internationales de la Propriété Industrielle;Bibliothèque CEIPI;Biblioth%E8que%20du%20Centre%20d%27%E9tudes%20Internationales%20de%20la%20Propri%E9t%E9%20Industriell;;674822295;bibliothèque associée;11 rue du maréchal Juin;BP 68;67046;Strasbourg Cédex;;48.5779437,7.7622744;http://www.ceipi.edu/index.php?id=12184;https://bu.unistra.fr/.do#16;;;;;;;;;;;;;;;;;;;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Grand Est;Province;FD111;0673029D.png;;;;;;;;;
0673029D;Service des bibliothèques de l'Université de Strasbourg;Service%20des%20biblioth%E8ques%20de%20l%27Universit%E9%20de%20Strasbourg;0673029D-20;0673029D-20-1;Oui;1;0673021V;UN20;Bibliothèque de Psychologie et des Sciences de l'Education (BPSE);Bibliothèque Psychologie Sciences de l'Education (BPSE);Biblioth%E8que%20de%20Psychologie%20et%20des%20Sciences%20de%20l%27Education%20%28BPSE%29;;674822116;;12 rue Goethe;;67000;Strasbourg;;48.5849299,7.764983;;https://bu.unistra.fr/opac/.do?sysb=polo&#6;scd-pret-psycho@unistra.fr;;;;;;https://fr-fr.facebook.com/bibliotheque.psycho.unistra;;;;;;;;;;;;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Grand Est;Province;FD111;0673029D.png;;;;;;;;;
0783398V;Université de Versailles Saint-Quentin-en-Yvelines , Direction des bibliothèques et de l'Information Scientifique et Technique;Universit%E9%20de%20Versailles%20Saint%2DQuentin%2Den%2DYvelines%20%2C%20Direction%20des%20biblioth;0783398V-06;0783398V-06-1;Oui;1;0781944P;UN06;IUT (pôle technologique) VELIZY;;IUT%20%28p%F4le%20technologique%29%20VELIZY;;786462101;;10-12 avenue de l'Europe;Bâtiment Saint Exupéry, 1er étage;78140;VELIZY-VILLACOUBLAY;;48.781677,2.217887;http://www.dbist.uvsq.fr/;http://www.dbist.uvsq.fr/v%C3%A9lizy;biutv@bib.uvsq.fr;http://www.dbist.uvsq.fr/contact;;;;;https://www.facebook.com/bibliotheque.IUT.Velizy;https://twitter.com/BIBuvsq;;;;;;;;;;;78640;Vélizy-Villacoublay;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;Île-de-France;FD111;;;bibliotheque.IUT.Velizy;BIBuvsq;;;;;;
0450744P;Service Commun de Documentation de l'Université d'Orléans;Service%20Commun%20de%20Documentation%20de%20l%27Universit%E9%20d%27Orl%E9ans;0450744P-13;0450744P-13-1;Oui;1;0450855K;UN13;Centre de Ressources Documentaires du centre de formation ESPE de Chartres;Espé CRD Chartres;Centre%20de%20Ressources%20Documentaires%20du%20centre%20de%20formation%20ESPE%20de%20Chartres;;280852203;bibliothèque associée;5 rue du Maréchal Leclerc;;28000;CHARTRES;;48.440875,1.476275;http://scd.univ-orleans.fr/;http://scd.univ-orleans.fr/espe;crd_espe28@univ-orleans.fr;http://scd.univ-orleans.fr/question-remarque-suggestion;;;;;;;;;;;;;;;;;28085;Chartres;UU28501;Chartres;D028;Eure-et-Loir;A18;Orléans-Tours;R24;Centre-Val de Loire;Province;FD111;;;;;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-20;0440121T-20-1;Oui;1;0440984F;UN20;BA12 Centre Fançois-Viète (CFV);;BA12%20Centre%20Fan%E7ois%2DVi%E8te%20%28CFV%29;;441092221;bibliothèque associée;2, rue de la Houssinière;UFR Sciences et Techniques;44300;Nantes;;47.237967,-1.554058;http://www.bu.univ-nantes.fr/;http://www.cfv.univ-nantes.fr/bibliotheque-du-centre-francois-viete-cfv--1228568.kjsp;;;;;;;;;;;;;;;;;;;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-29;0440121T-29-1;Oui;1;0440984F;UN29;BA16b Institut universitaire de technologie de Nantes - site de Carquefou (Fleuriaye);BA16b IUT de Nantes - site de Carquefou (Fleuriaye);BA16b%20Institut%20universitaire%20de%20technologie%20de%20Nantes%20%2D%20site%20de%20Carquefou%20%28;;441092220;bibliothèque associée;2, avenue du Professeur-Jean-Rouxel;;44475;Carquefou;;47.298952,-1.5007169999999999;http://www.bu.univ-nantes.fr/;http://www.iutnantes.univ-nantes.fr/vie-des-campus/le-centre-de-documentation/centre-de-documentation-de-l-iut-de-nantes-1491815.kjsp?RH=1270740800068;documentation.iutna@univ-nantes.fr;;;;;;;;;;;;;;;;;;44026;Carquefou;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-28;0440121T-28-1;Oui;1;0440984F;UN28;BA16a Institut universitaire de technologie de Nantes - site de Nantes-Joffre;BA16a IUT de Nantes - site de Nantes-Joffre;BA16a%20Institut%20universitaire%20de%20technologie%20de%20Nantes%20%2D%20site%20de%20Nantes%2DJoff;;441092206;bibliothèque associée;3, rue du Maréchal-Joffre;;44300;Nantes;;47.223373,-1.544721;http://www.bu.univ-nantes.fr/;http://www.iutnantes.univ-nantes.fr/vie-des-campus/le-centre-de-documentation/centre-de-documentation-de-l-iut-de-nantes-1491815.kjsp?RH=1270740800068;documentation.iutna@univ-nantes.fr;;;;;;;;;;;;;;;;;;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-06;0440121T-06-1;Oui;1;0440984F;UN06;BU Droit, économie et gestion;BU DEC;BU%20Droit%2C%20%E9conomie%20et%20gestion;;441092103;;;Chemin de la Censive-du-Tertre;44300;Nantes;;47.245668,-1.551813;http://www.bu.univ-nantes.fr/;http://www.bu.univ-nantes.fr/les-sites-de-la-bu-de-nantes/bu-droit-economie-et-gestion/bu-droit-economie-gestion-343909.kjsp?RH=1373962192266;contact.bu-droit@univ-nantes.fr;;;;;;;https://twitter.com/univnantesbu;;;;;;;;;;;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;univnantesbu;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-23;0440121T-23-1;Oui;1;0440984F;UN23;BA15a Centre de ressources documentaires de l'École supérieure du professorat et de l'éducation-Nantes;BA15a CRD de l'ESPE-Nantes;BA15a%20Centre%20de%20ressources%20documentaires%20de%20l%27%C9cole%20sup%E9rieure%20du%20professor;;441092309;bibliothèque associée;4, chemin Launay-Violette;;44322;Nantes;;47.250728,-1.558697;http://www.bu.univ-nantes.fr/;http://www.espe.univ-nantes.fr/bibliotheque/la-bibliotheque-451179.kjsp?RH=1277913351193;;;;;;;;;;;;;;;;;;;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;;;;;;;
0440121T;Service commun de la documentation (SCD) de l’Université de Nantes;Service%20commun%20de%20la%20documentation%20%28SCD%29%20de%20l%92Universit%E9%20de%20Nantes;0440121T-24;0440121T-24-1;Oui;1;0440984F;UN24;BA15b Centre de ressources documentaires de l’École supérieure du professorat et de l'éducation-Angers;BA15b CRD de l’ESPE-Angers;BA15b%20Centre%20de%20ressources%20documentaires%20de%20l%92%C9cole%20sup%E9rieure%20du%20professor;;490072305;bibliothèque associée;7, rue Dacier;;49000;Angers;;47.478538,-0.566955;http://www.espe-site-angers.univ-nantes.fr/centre-de-ressources-documentaires/;http://www.espe-site-angers.univ-nantes.fr/centre-de-ressources-documentaires/le-centre-de-ressources-documentaires-d-angers-552868.kjsp?RH=1223642691209;;;;;;;;;;;;;;;;;;;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;Province;FD111;;;;;;;;;;
0911688R;Service Commun de la Documentation;Service%20Commun%20de%20la%20Documentation;0911688R-04;0911688R-04-1;Oui;1;0911101C;Un04;Bibliothèque Economie-Droit (Antenne-Orsay);;Biblioth%E8que%20Economie%2DDroit%20%28Antenne%2DOrsay%29;;914712102;;rue du Doyen Poitou;Campus univeristaire d'Orsay, bâtiment 407;91407;Orsay Cedex;;48.702767,2.177302;http://www.bibliotheques.u-psud.fr/fr/index.html;http://www.bibliotheques.u-psud.fr/fr/infos-pratiques/les-bibliotheques.html;bu-droit-eco-gestion-orsay.scd@u-psud.fr;;;;;;https://www.facebook.com/BU.UPSUD/;https://twitter.com/BU_UPSUD;;;;;;;;;;;91471;Orsay;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;Île-de-France;FD111;;;BU.UPSUD;BU_UPSUD;;;;;;Oui
0134031L;SCD Aix-Marseille Université;SCD%20Aix%2DMarseille%20Universit%E9;0134031L-18;0134031L-18-1;Oui;1;0134009M;UN18;Bibliothèque ESPE Aix en Provence;;Biblioth%E8que%20ESPE%20Aix%20en%20Provence;;130012224;;2 Avenue Jules Isaac;;13100;Aix-en-Provence;;43.5331565,5.451545799999963;;https://bu.univ-amu.fr/bu-espe-aix;;http://univ-amu.libanswers.com/;;;;;https://www.facebook.com/bulshamu/;https://twitter.com/bulshamu;;;;;;;;;;;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;Province;FD111;0134031L.jpg;;bulshamu;bulshamu;;;;;;
